Gleb
Larochkin
76c45d2131e35b4cae32449b94d8a10d
[20.9.2020 | 22:11:14] {"type":"cmd","data":"run"}
,[20.9.2020 | 22:11:14] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:14] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:14] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:14] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:14] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:14] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:14] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:15] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:15] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:15] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:15] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:15] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16,"gpioe":256,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:15] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16,"gpioe":256,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:15] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16,"gpioe":256,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:15] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16,"gpioe":256,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:15] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":16,"gpioe":256,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:15] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:16] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:16] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:16] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
,[20.9.2020 | 22:11:16] {"client-id":"12db14eb-f26e-4d4e-a6a9-92d680af04ac","gpioa":0,"gpiob":0,"gpioc":32768,"gpiod":0,"gpioe":0,"modeltime":0,"type":"gpio"}
